City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Snowfall,Rainfall,Country
71,Pyaozerskiy,65.83,31.17,48.09,84,0,2.35,clear sky,0,0.0,RU
72,Hilo,19.73,-155.09,84.2,58,20,9.17,few clouds,0,0.0,US
73,Alugan,12.22,125.48,84.47,68,100,4.68,overcast clouds,0,0.0,PH
74,Blyth,55.13,-1.51,57.0,66,100,4.7,overcast clouds,0,0.0,GB
75,Saint George,37.1,-113.58,108.0,12,1,16.11,clear sky,0,0.0,US
76,Hambantota,6.12,81.12,78.8,100,75,9.17,broken clouds,0,0.0,LK
77,Lasa,46.62,10.7,51.8,87,5,3.36,clear sky,0,0.0,IT
78,Chokurdakh,70.63,147.92,72.61,43,40,8.59,scattered clouds,0,0.0,RU
79,Alma,48.55,-71.65,69.01,82,75,10.29,broken clouds,0,0.0,CA
80,Isiro,2.77,27.62,66.16,98,100,0.65,overcast clouds,0,0.0,CD
81,Busselton,-33.65,115.33,59.0,69,100,12.8,light rain,0,0.3,AU
82,New Norfolk,-42.78,147.06,45.0,91,0,1.01,clear sky,0,0.0,AU
83,Victoria,22.29,114.16,89.01,70,1,5.01,clear sky,0,0.0,HK
84,Shiyan,32.65,110.78,69.53,88,100,2.46,light rain,0,0.12,CN
85,Lebu,-37.62,-73.65,48.43,89,100,8.43,overcast clouds,0,0.0,CL
86,Port Elizabeth,-33.92,25.57,62.6,29,0,11.41,clear sky,0,0.0,ZA
87,Hofn,64.25,-15.21,51.66,87,100,6.96,light rain,0,0.41,IS
88,Seoul,37.57,126.98,68.0,93,90,3.36,light rain,0,0.0,KR
89,Gamba,-2.65,10.0,71.1,91,99,6.85,overcast clouds,0,0.0,GA
90,Hermanus,-34.42,19.23,55.0,85,100,5.01,light rain,0,0.75,ZA
91,Bria,6.54,21.99,68.5,95,100,2.08,light rain,0,0.3,CF
92,Sawakin,19.11,37.33,85.8,45,38,9.46,scattered clouds,0,0.0,SD
93,Kodiak,57.79,-152.41,57.2,62,90,9.17,overcast clouds,0,0.0,US
94,Buraydah,26.33,43.98,89.04,17,38,11.99,scattered clouds,0,0.0,SA
95,Pokaran,26.92,71.92,85.05,63,100,15.12,overcast clouds,0,0.0,IN
96,Scarborough,54.28,-0.4,55.0,86,90,6.71,overcast clouds,0,0.0,GB
97,San Bartolome Jocotenango,15.19,-91.08,57.99,76,0,3.67,clear sky,0,0.0,GT
98,Carnarvon,-24.87,113.63,59.0,93,0,4.7,clear sky,0,0.0,AU
99,Leningradskiy,69.38,178.42,43.48,69,83,10.89,broken clouds,0,0.0,RU
100,Kawambwa,-9.79,29.08,60.91,57,0,9.53,clear sky,0,0.0,ZM
101,Brae,60.4,-1.35,53.6,87,100,12.75,overcast clouds,0,0.0,GB
102,Gilgit,35.92,74.31,74.08,36,38,3.49,light rain,0,0.21,PK
103,Labuhan,-6.88,112.21,78.44,79,100,7.65,overcast clouds,0,0.0,ID
104,Georgetown,5.41,100.34,80.6,94,20,5.12,few clouds,0,0.0,MY
105,Avarua,-21.21,-159.78,68.0,94,100,3.36,moderate rain,0,0.0,CK
106,Longyearbyen,78.22,15.64,46.4,75,75,2.24,broken clouds,0,0.0,SJ
107,Pevek,69.7,170.31,49.57,70,55,6.15,broken clouds,0,0.0,RU
108,Andenes,69.31,16.12,50.0,87,61,4.7,broken clouds,0,0.0,NO
109,Zauralskiy,54.79,61.24,60.8,72,18,5.66,few clouds,0,0.0,RU
110,Muravlenko,63.79,74.52,57.36,85,100,13.15,light rain,0,0.3,RU
111,Chuy,-33.7,-53.46,44.2,71,81,9.15,broken clouds,0,0.0,UY
112,Kapaa,22.08,-159.32,82.4,69,40,20.8,light rain,0,0.25,US
113,Juegang,32.32,121.19,74.97,92,100,11.63,overcast clouds,0,0.0,CN
114,Maragogi,-9.01,-35.22,74.3,83,0,8.95,light rain,0,0.12,BR
115,Vardo,70.37,31.11,46.65,90,0,2.24,clear sky,0,0.0,NO
116,Mikuni,36.22,136.15,71.6,73,90,1.12,overcast clouds,0,0.0,JP
117,Ayan,56.45,138.17,55.49,84,96,9.64,overcast clouds,0,0.0,RU
118,Pitimbu,-7.47,-34.81,73.4,88,0,4.7,clear sky,0,0.0,BR
119,Cabo San Lucas,22.89,-109.91,95.0,41,40,11.41,scattered clouds,0,0.0,MX
120,Teguise,29.06,-13.56,71.6,78,1,13.87,clear sky,0,0.0,ES
121,Saldanha,-33.01,17.94,57.2,93,90,17.22,overcast clouds,0,0.0,ZA
122,Nhulunbuy,-12.23,136.77,78.8,54,75,26.4,broken clouds,0,0.0,AU
123,Inhambane,-23.86,35.38,59.41,76,16,6.42,few clouds,0,0.0,MZ
124,Skibbereen,51.55,-9.27,57.2,93,90,12.75,overcast clouds,0,0.0,IE
125,Bambari,5.77,20.68,71.51,94,100,2.57,overcast clouds,0,0.0,CF
126,Bay Roberts,47.6,-53.26,60.01,1,100,13.31,moderate rain,0,1.31,CA
127,Kribi,2.95,9.92,75.16,91,86,6.64,light rain,0,0.27,CM
128,Doka,13.52,35.77,70.68,89,100,17.18,overcast clouds,0,0.0,SD
129,Tangshan,39.63,118.18,77.83,63,99,2.82,light rain,0,0.15,CN
130,Lins,-21.68,-49.74,70.66,52,0,3.51,clear sky,0,0.0,BR
131,Cockburn Town,21.46,-71.14,83.25,79,14,16.33,few clouds,0,0.0,TC
132,Yellowknife,62.46,-114.35,71.6,49,75,3.36,broken clouds,0,0.0,CA
133,Codrington,-38.27,141.97,54.18,80,0,5.77,clear sky,0,0.0,AU
134,Tumen,42.97,129.84,68.72,70,100,4.85,overcast clouds,0,0.0,CN
135,Portland,45.52,-122.68,75.99,44,20,9.17,few clouds,0,0.0,US
136,Mehamn,71.04,27.85,47.46,84,0,4.43,clear sky,0,0.0,NO
137,Talcahuano,-36.72,-73.12,53.6,100,90,4.7,mist,0,0.0,CL
138,Vanimo,-2.67,141.3,82.24,78,92,1.34,light rain,0,0.83,PG
139,Sitka,57.05,-135.33,57.2,76,90,9.17,overcast clouds,0,0.0,US
140,Narsaq,60.92,-46.05,51.8,57,100,4.7,light rain,0,0.47,GL
141,Nelidovo,56.22,32.78,51.17,88,100,2.51,overcast clouds,0,0.0,RU
142,Leeton,-34.57,146.4,48.2,100,90,3.36,overcast clouds,0,0.0,AU
143,Dingle,11.0,122.67,84.13,75,100,3.36,light rain,0,0.53,PH
144,Cherskiy,68.75,161.3,54.3,86,100,3.65,overcast clouds,0,0.0,RU
145,Torbay,47.67,-52.73,55.99,93,90,23.04,overcast clouds,0,0.0,CA
146,Esil,51.96,66.4,65.66,76,0,5.57,clear sky,0,0.0,KZ
147,Hobyo,5.35,48.53,78.53,78,67,17.47,broken clouds,0,0.0,SO
148,Banjar,-8.19,114.97,77.0,100,75,3.36,broken clouds,0,0.0,ID
149,Sibolga,1.74,98.78,75.22,85,100,6.2,light rain,0,0.94,ID
150,Port Augusta,-32.5,137.77,51.8,93,90,3.36,overcast clouds,0,0.0,AU
151,Port Hedland,-20.32,118.57,69.8,15,27,14.99,scattered clouds,0,0.0,AU
152,Naze,28.37,129.48,86.0,84,75,8.05,broken clouds,0,0.0,JP
153,Maniitsoq,65.42,-52.9,47.77,72,100,13.98,overcast clouds,0,0.0,GL
154,Kalmunai,7.42,81.82,80.44,77,100,5.46,overcast clouds,0,0.0,LK
155,Samana,19.21,-69.34,79.65,87,95,6.31,overcast clouds,0,0.0,DO
156,Paris,48.85,2.35,64.99,55,100,9.17,overcast clouds,0,0.0,FR
157,Chibombo,-14.66,28.07,57.49,51,0,8.43,clear sky,0,0.0,ZM
158,Honiara,-9.43,159.95,86.0,79,75,9.17,broken clouds,0,0.0,SB
159,Neuquen,-38.95,-68.06,44.6,52,100,4.7,overcast clouds,0,0.0,AR
160,Puerto Ayora,-0.74,-90.35,68.0,91,46,7.72,scattered clouds,0,0.0,EC
161,Dikson,73.51,80.55,41.22,96,100,5.93,overcast clouds,0,0.0,RU
162,Komsomolskiy,40.43,71.72,73.4,53,80,4.7,broken clouds,0,0.0,UZ
163,Pokrovsk,48.28,37.18,64.38,91,73,7.67,broken clouds,0,0.0,UA
164,Dauphin,51.15,-100.05,77.0,61,1,5.82,clear sky,0,0.0,CA
165,Novobohdanivka,47.08,35.33,66.51,91,0,7.0,clear sky,0,0.0,UA
166,Sakakah,29.97,40.21,80.29,28,0,10.58,clear sky,0,0.0,SA
167,Pundaguitan,6.37,126.17,83.03,67,16,2.64,few clouds,0,0.0,PH
168,Beringovskiy,63.05,179.32,51.19,81,100,9.42,overcast clouds,0,0.0,RU
169,Letlhakane,-21.42,25.58,42.1,60,0,8.34,clear sky,0,0.0,BW
170,Baruun-Urt,46.68,113.28,70.2,66,100,2.91,overcast clouds,0,0.0,MN
171,Airai,-8.93,125.41,66.56,72,100,5.91,overcast clouds,0,0.0,TL
172,Shingu,33.73,135.98,75.2,69,75,1.12,shower rain,0,0.0,JP
173,Raudeberg,61.99,5.14,53.6,81,26,5.82,scattered clouds,0,0.0,NO
174,Yunyang,33.45,112.71,75.34,70,68,6.15,broken clouds,0,0.0,CN
175,Severo-Kurilsk,50.68,156.12,50.14,91,100,7.87,overcast clouds,0,0.0,RU
176,Ribeira Grande,38.52,-28.7,68.86,82,8,15.84,clear sky,0,0.0,PT
177,Taketa,32.97,131.38,75.0,88,100,1.01,overcast clouds,0,0.0,JP
178,Joshimath,30.57,79.57,66.65,49,35,3.04,scattered clouds,0,0.0,IN
179,Nemuro,43.32,145.57,60.8,87,75,3.36,broken clouds,0,0.0,JP
180,Kenai,60.55,-151.26,59.0,72,90,9.17,overcast clouds,0,0.0,US
181,Port Blair,11.67,92.75,82.69,78,100,14.47,overcast clouds,0,0.0,IN
182,Qasigiannguit,68.82,-51.19,48.2,70,2,1.12,clear sky,0,0.0,GL
183,College,64.86,-147.8,71.6,30,75,6.93,broken clouds,0,0.0,US
184,Analipsis,35.32,25.57,80.01,53,0,13.87,clear sky,0,0.0,GR
185,Gushikawa,26.35,127.87,87.8,70,1,8.05,clear sky,0,0.0,JP
186,Sao Gabriel Da Cachoeira,-0.13,-67.09,73.11,95,30,1.28,scattered clouds,0,0.0,BR
187,Atasu,48.68,71.64,69.75,71,0,9.48,clear sky,0,0.0,KZ
188,Rexburg,43.83,-111.79,84.2,20,1,20.8,clear sky,0,0.0,US
189,Xuddur,4.12,43.89,71.74,82,0,17.67,clear sky,0,0.0,SO
190,Anloga,5.79,0.9,75.2,88,20,6.93,few clouds,0,0.0,GH
191,Jalu,29.03,21.55,75.52,48,0,15.3,clear sky,0,0.0,LY
192,Vestmannaeyjar,63.44,-20.27,50.72,93,100,9.89,light rain,0,0.63,IS
193,Pisco,-13.7,-76.22,61.0,87,40,4.7,mist,0,0.0,PE
194,Fortuna,40.6,-124.16,71.01,68,1,18.34,clear sky,0,0.0,US
195,Wajir,1.75,40.06,73.72,72,29,14.2,scattered clouds,0,0.0,KE
196,Mon,26.75,95.1,72.46,94,100,1.81,light rain,0,0.76,IN
197,Sorland,67.67,12.69,51.71,83,0,8.03,clear sky,0,0.0,NO
198,Arkhangelsk,64.54,40.54,50.0,100,90,2.13,fog,0,0.0,RU
199,Bathsheba,13.22,-59.52,82.4,78,20,14.99,few clouds,0,0.0,BB
200,Kloulklubed,7.04,134.26,77.0,94,90,5.82,light intensity shower rain,0,0.0,PW
201,Asau,46.43,26.4,53.01,91,98,4.68,overcast clouds,0,0.0,RO
202,Mahebourg,-20.41,57.7,69.8,83,75,12.75,shower rain,0,0.0,MU
203,Montepuez,-13.13,39.0,62.51,96,51,7.11,broken clouds,0,0.0,MZ
204,Vila Velha,-20.33,-40.29,73.4,73,34,6.93,scattered clouds,0,0.0,BR
205,Laguna,38.42,-121.42,102.99,10,1,9.17,clear sky,0,0.0,US
206,Berbera,10.44,45.01,91.26,39,68,39.15,broken clouds,0,0.0,SO
207,Gao,16.64,1.64,91.71,31,65,9.42,broken clouds,0,0.0,ML
208,Coihaique,-45.58,-72.07,30.2,86,20,2.24,few clouds,0,0.0,CL
209,Tiksi,71.69,128.87,64.6,53,0,4.25,clear sky,0,0.0,RU
210,Kruisfontein,-34.0,24.73,56.34,35,0,12.03,clear sky,0,0.0,ZA
211,Kamiiso,41.82,140.65,66.2,82,75,3.36,broken clouds,0,0.0,JP
212,Yuzhnyy-Kospashskiy,58.97,57.75,61.0,87,4,2.24,clear sky,0,0.0,RU
213,Mount Gambier,-37.83,140.77,48.2,100,0,4.36,clear sky,0,0.0,AU
214,Bengkulu,-3.8,102.27,77.05,85,76,2.44,broken clouds,0,0.0,ID
215,Hojai,26.0,92.87,77.92,92,100,3.36,overcast clouds,0,0.0,IN
216,Burdur,37.72,30.29,69.8,56,0,21.92,clear sky,0,0.0,TR
217,Kemijarvi,66.71,27.43,46.85,85,39,3.6,scattered clouds,0,0.0,FI
218,Saint Cloud,45.56,-94.16,80.6,44,1,3.36,clear sky,0,0.0,US
219,Manggar,-2.88,108.27,81.41,81,100,14.2,moderate rain,0,1.67,ID
220,Staryy Nadym,65.61,72.68,59.11,89,100,12.57,light rain,0,0.95,RU
221,Eufaula,31.89,-85.15,73.4,94,1,3.36,clear sky,0,0.0,US
222,Hamilton,39.18,-84.53,75.2,73,1,5.44,clear sky,0,0.0,US
223,Port Lincoln,-34.73,135.87,55.9,74,100,3.11,overcast clouds,0,0.0,AU
224,Gat,31.61,34.76,73.99,83,16,3.0,few clouds,0,0.0,IL
225,Preobrazheniye,42.9,133.91,63.99,79,57,4.36,broken clouds,0,0.0,RU
226,Terrace,54.52,-128.6,62.6,59,75,16.11,broken clouds,0,0.0,CA
227,Pasighat,28.07,95.33,76.86,87,100,1.43,light rain,0,0.44,IN
228,Blagoyevo,63.37,47.92,50.38,92,13,5.17,few clouds,0,0.0,RU
